Cluster, Prot. count, NCPR, FCR, f_ali, f_aro, f_neg, f_pos, f_pol, f_pro
1, 18.0, -0.395, 0.5126, 0.1601, 0.0501, 0.4538, 0.0588, 0.2476, 0.0208
2, 63.0, -0.194, 0.3932, 0.2409, 0.0266, 0.2936, 0.0996, 0.2868, 0.0416
3, 63.0, -0.2359, 0.3744, 0.2091, 0.0572, 0.3052, 0.0692, 0.3046, 0.0472
4, 139.0, -0.1314, 0.2756, 0.2239, 0.0786, 0.2035, 0.0721, 0.3513, 0.0582
5, 80.0, -0.1515, 0.33, 0.2258, 0.0557, 0.2407, 0.0892, 0.3285, 0.0471
6, 300.0, -0.0685, 0.2741, 0.2411, 0.0545, 0.1713, 0.1028, 0.3538, 0.0637
7, 153.0, -0.0993, 0.3114, 0.2596, 0.0331, 0.2054, 0.106, 0.3318, 0.0544
8, 130.0, -0.0339, 0.2885, 0.2621, 0.0215, 0.1612, 0.1273, 0.3506, 0.0698
9, 2.0, 0.314, 0.3344, 0.4027, 0.0, 0.0102, 0.3242, 0.1673, 0.0956
10, 70.0, 0.1417, 0.3141, 0.2509, 0.0355, 0.0862, 0.2279, 0.3296, 0.0621
11, 105.0, 0.1063, 0.2709, 0.2398, 0.0463, 0.0823, 0.1886, 0.3555, 0.0742
12, 438.0, 0.0676, 0.2267, 0.2469, 0.0666, 0.0795, 0.1471, 0.371, 0.0743
13, 46.0, 0.1659, 0.2915, 0.2325, 0.0617, 0.0628, 0.2287, 0.342, 0.0595
14, 107.0, 0.11, 0.2403, 0.2364, 0.0894, 0.0651, 0.1751, 0.3479, 0.0687
15, 187.0, 0.0608, 0.2557, 0.2557, 0.0421, 0.0975, 0.1582, 0.3689, 0.0649
16, 218.0, 0.0312, 0.2329, 0.2561, 0.0532, 0.1008, 0.132, 0.3776, 0.0674
17, 108.0, -0.0387, 0.2866, 0.2485, 0.0364, 0.1626, 0.1239, 0.3579, 0.0584
18, 329.0, 0.0011, 0.26, 0.2494, 0.0409, 0.1295, 0.1305, 0.37, 0.0674
19, 129.0, 0.0533, 0.3086, 0.2465, 0.0259, 0.1276, 0.1809, 0.3436, 0.0651
20, 239.0, -0.0633, 0.2364, 0.2172, 0.0847, 0.1498, 0.0866, 0.3839, 0.0662
21, 408.0, -0.0065, 0.2295, 0.243, 0.0652, 0.118, 0.1115, 0.3764, 0.0738
22, 230.0, 0.0186, 0.1973, 0.2257, 0.0873, 0.0894, 0.1079, 0.3997, 0.0766
23, 95.0, -0.029, 0.1586, 0.1921, 0.114, 0.0938, 0.0648, 0.4203, 0.1059
24, 83.0, 0.0443, 0.1529, 0.1929, 0.117, 0.0543, 0.0986, 0.4038, 0.1227
