Cluster, Prot. count, NCPR, FCR, f_ali, f_aro, f_neg, f_pos, f_pol, f_pro
1, 56.0, 0.137, 0.3158, 0.2622, 0.029, 0.0894, 0.2264, 0.3191, 0.0661
2, 83.0, 0.16, 0.2946, 0.2283, 0.0548, 0.0673, 0.2273, 0.3453, 0.0655
3, 313.0, 0.0813, 0.2498, 0.2482, 0.0494, 0.0842, 0.1655, 0.3686, 0.0699
4, 374.0, 0.025, 0.213, 0.2482, 0.0665, 0.094, 0.119, 0.3827, 0.0766
5, 211.0, 0.0319, 0.2363, 0.2605, 0.0524, 0.1022, 0.1341, 0.3722, 0.0663
6, 229.0, -0.015, 0.2446, 0.2458, 0.0596, 0.1298, 0.1148, 0.369, 0.0693
7, 250.0, 0.0881, 0.2275, 0.2445, 0.0759, 0.0697, 0.1578, 0.3652, 0.073
8, 245.0, 0.0237, 0.1973, 0.2243, 0.0889, 0.0868, 0.1105, 0.3965, 0.0796
9, 75.0, -0.0148, 0.1399, 0.1729, 0.1196, 0.0774, 0.0626, 0.4304, 0.1293
10, 78.0, 0.0719, 0.1853, 0.1975, 0.1086, 0.0567, 0.1286, 0.385, 0.1109
11, 45.0, 0.0225, 0.3637, 0.2377, 0.0179, 0.1706, 0.1931, 0.3124, 0.0626
12, 268.0, 0.0455, 0.273, 0.2532, 0.0344, 0.1137, 0.1593, 0.3592, 0.0686
13, 352.0, -0.0297, 0.2646, 0.248, 0.0465, 0.1472, 0.1174, 0.3638, 0.0631
14, 175.0, -0.0136, 0.2651, 0.2645, 0.0309, 0.1393, 0.1257, 0.3607, 0.0688
15, 153.0, -0.0993, 0.3114, 0.2596, 0.0331, 0.2054, 0.106, 0.3318, 0.0544
16, 66.0, -0.0576, 0.3201, 0.2398, 0.0199, 0.1888, 0.1313, 0.3537, 0.0584
17, 57.0, -0.1288, 0.2488, 0.2048, 0.0974, 0.1888, 0.06, 0.3738, 0.064
18, 194.0, -0.0451, 0.216, 0.2185, 0.0892, 0.1306, 0.0855, 0.3961, 0.0698
19, 190.0, -0.0716, 0.2564, 0.2295, 0.0692, 0.164, 0.0924, 0.367, 0.0649
20, 138.0, -0.0978, 0.279, 0.2392, 0.0574, 0.1884, 0.0906, 0.3507, 0.063
21, 63.0, -0.2359, 0.3744, 0.2091, 0.0572, 0.3052, 0.0692, 0.3046, 0.0472
22, 122.0, -0.1558, 0.3236, 0.2252, 0.0635, 0.2397, 0.0839, 0.3268, 0.0479
23, 63.0, -0.194, 0.3932, 0.2409, 0.0266, 0.2936, 0.0996, 0.2868, 0.0416
24, 18.0, -0.395, 0.5126, 0.1601, 0.0501, 0.4538, 0.0588, 0.2476, 0.0208
