A0A1I9LPH3	gene_name:At3g29173
A0A1P8B415	gene_name:HIL1
A4FVP2	gene_name:TPS03
B3H6N5	gene_name:At3g26539
F4I2G0	gene_name:At1g03660
F4I316	gene_name:SUN3
F4I8H8	gene_name:GDPD4
F4IB23	gene_name:At1g43005
F4IB81	gene_name:LYK3
F4IG53	gene_name:At2g45406
F4IRU3	gene_name:XI-F
F4IYZ0	gene_name:At3g28080
F4J3U4	gene_name:At3g10585
F4J9Q6	gene_name:FKBP43
F4JN22	gene_name:At4g35500
F4JRR2	gene_name:At4g24860
F4JTS9	gene_name:At4g13760
F4K4Y5	gene_name:DEK4
F4K6R7	gene_name:ENODL21
F4KAN9	gene_name:MSF19.7
F4KGY0	gene_name:MKP11.10
O04714	gene_name:GCR1
O22718	gene_name:ACLA-2
O48850	gene_name:VAMP725
O64583	gene_name:At2g34740
O64764	gene_name:At2g35010
O65570	gene_name:VLN4
O80965	gene_name:At2g39160
O81760	gene_name:PP2C63
O82236	gene_name:ATFDB15
P20115	gene_name:CSY4
P25853	gene_name:BAM5
P42753	gene_name:CYCD3-1
P46286	gene_name:RPL8A
P48007	gene_name:PI
P92999	gene_name:GLP2A
Q0WP38	gene_name:At5g49710
Q1PF35	gene_name:RIC6
Q2V370	gene_name:At5g18403
Q3E6X9	gene_name:At1g47915
Q501D1	gene_name:At1g04090
Q5PP12	gene_name:AGP24
Q6XJG8	gene_name:RPN1B
Q6XL73	gene_name:ATJ39
Q7XA66	gene_name:ZOP1
Q84JH2	gene_name:G3BP-LIKE
Q84K72	gene_name:At1g06510
Q8GUH7	gene_name:OSCA2.3
Q8GUM2	gene_name:HSP70-9
Q8L706	gene_name:SYT5
Q8L9H6	gene_name:CLE17
Q8LAF9	gene_name:At5g20130
Q8LE42	gene_name:NRPD7
Q8LGI8	gene_name:NAA20
Q8RWD8	gene_name:At1g20540
Q8RXJ5	gene_name:At3g58020
Q8RXT2	gene_name:ISTL7
Q8VZW1	gene_name:NIP1-1
Q940Y9	gene_name:At5g43745
Q949X1	gene_name:DFR1
Q9ASQ2	gene_name:MAMYB
Q9C5H4	gene_name:MTV1
Q9C6G7	gene_name:At1g55380
Q9C8H4	gene_name:At1g51620
Q9CAA6	gene_name:ATDOA5
Q9CB01	gene_name:RABF1
Q9FG54	gene_name:MDK4.20
Q9FMY7	gene_name:ZHD13
Q9FVQ1	gene_name:NUCL1
Q9FY81	gene_name:At5g09340
Q9LDH1	gene_name:SIB1
Q9LNL1	gene_name:At1g34520
Q9LNP6	gene_name:NFYA8
Q9LS03	gene_name:AOC1
Q9LTF4	gene_name:PCMP-H52
Q9LUZ5	gene_name:MZN1.7
Q9LVR0	gene_name:ATHB-53
Q9LX87	gene_name:At3g46050
Q9LZ08	gene_name:MOS11
Q9M0L3	gene_name:At4g25040
Q9M1G5	gene_name:NDC80
Q9M1P5	gene_name:ARFA1E
Q9M363	gene_name:At3g61750
Q9M885	gene_name:RPS7B
Q9S756	gene_name:FER4
Q9S7Z8	gene_name:PIN3
Q9SCU5	gene_name:WNK5
Q9SD80	gene_name:TOM5
Q9SE45	gene_name:ANN3
Q9SH30	gene_name:HMA5
Q9SIJ5	gene_name:RL2
Q9SN99	gene_name:F18L15.100
Q9SVJ5	gene_name:At4g38980
Q9SZH8	gene_name:At4g26040
Q9SZR5	gene_name:F27B13.190
Q9T0A2	gene_name:At4g23870
Q9XF89	gene_name:LHCB5
Q9ZQI0	gene_name:EPR1
Q9ZUW2	gene_name:At2g27540
Q9ZVI9	gene_name:PECT1
A0A1I9LN10	gene_name:At3g43837
A0A1I9LQI3	gene_name:At3g31550
A0A1P8B6J1	gene_name:At4g23355
A0A1P8B9Z0	gene_name:At5g04347
A0A1P8BBR6	gene_name:At5g15685
A8MRC1	gene_name:At2g03667
B3H4D2	gene_name:At3g03826
F4HWT1	gene_name:At1g48145
F4HXU3	gene_name:KNATM
F4HYR3	gene_name:OSCA1.4
F4HZU9	gene_name:At1g29025
F4I4G1	gene_name:At1g16480
F4I8M5	gene_name:At1g78030
F4IAF4	gene_name:At1g05950
F4IZC5	gene_name:CAN1
F4J424	gene_name:RIC5
F4JT98	gene_name:SLK3
F4K3X8	gene_name:KIN7L
F4K4T3	gene_name:RLP56
F4K6L4	gene_name:At5g07225
F4K9W2	gene_name:MWD9.25
F4KEU5	gene_name:At5g52220
F4KG91	gene_name:At5g52580
O04147	gene_name:At4g18930
O64855	gene_name:At2g44200
O64859	gene_name:At2g44240
O80617	gene_name:At2g03030
O81815	gene_name:MO1
O82387	gene_name:CDC6
P34802	gene_name:GGPPS1
P52577	gene_name:At1g75280
P59277	gene_name:SYP81
P92517	gene_name:At2g07685
P92519	gene_name:At2g07683
Q0WPA5	gene_name:MSR2
Q0WR08	gene_name:At4g37409
Q0WVN5	gene_name:CSLG3
Q1PDI7	gene_name:At5g56325
Q2V4D9	gene_name:At1g68907
Q3E9U9	gene_name:At4g28405
Q3EA54	gene_name:At4g11655
Q3EAY9	gene_name:PME30
Q45GK4	gene_name:At3g50160
Q5XF82	gene_name:JAL11
Q5XVB9	gene_name:At3g15860
