,IDR1,IDR2,E_value
684608,Q9C658_IDP_7_481_560,HopAS1f_C-terminal_1_341_377,-6.99636670340378
681296,Q9C658_IDP_3_161_240,HopAS1f_C-terminal_1_341_377,-5.859379109355796
684944,Q9C658_IDP_8_561_611,HopBL1b_Middle_1_412_491,-5.686518324553864
684430,Q9C658_IDP_7_481_560,HopM1s_C-terminal_1_801_836,-5.6645584230963415
684942,Q9C658_IDP_8_561_611,HopBL1a_Middle_2_482_553,-5.279444431559865
681384,Q9C658_IDP_3_161_240,HopM1l_C-terminal_1_264_294,-5.030562439491547
684762,Q9C658_IDP_8_561_611,HopX1b_Middle_1_205_249,-5.007404039198217
684974,Q9C658_IDP_8_561_611,AvrB2g_N-terminal_2_81_111,-4.972789027623429
677156,Q9SJF3_middle_1_141_220,HopAS1f_C-terminal_1_341_377,-4.714479196522017
684696,Q9C658_IDP_7_481_560,HopM1l_C-terminal_1_264_294,-4.674856230745181
