IDR ID, asphericity, scaling_exponent,Normalized Rg (A),Normalized Re (A)
tr|A0A1P8B415|A0A1P8B415_ARATH Triglyceride lipase OS=Arabidopsis thaliana OX=3702 GN=HIL1 PE=1 SV=1_1_66,0.404,0.535,0.042808435408511175,0.05164781111657649
tr|A0A1P8B415|A0A1P8B415_ARATH Triglyceride lipase OS=Arabidopsis thaliana OX=3702 GN=HIL1 PE=1 SV=1_306_525,0.419,0.569,0.14463105610977817,0.16938514510575506
sp|A4FVP2|TPS03_ARATH Terpenoid synthase 3; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TPS03 PE=1 SV=1_1_34,0.455,0.568,0.012291114197920613,0.022862764387604526
sp|F4I316|SUN3_ARATH SUN domain-containing protein 3 OS=Arabidopsis thaliana OX=3702 GN=SUN3 PE=1 SV=1_1_292,0.427,0.552,0.17211769162773077,0.18298081652729956
sp|F4I316|SUN3_ARATH SUN domain-containing protein 3 OS=Arabidopsis thaliana OX=3702 GN=SUN3 PE=1 SV=1_415_496,0.438,0.561,0.06162394241697184,0.07437284800787017
sp|F4IB81|LYK3_ARATH LysM domain receptor-like kinase 3 OS=Arabidopsis thaliana OX=3702 GN=LYK3 PE=2 SV=1_191_325,0.402,0.539,0.08448036368228312,0.10319724545007379
sp|F4IRU3|MYO12_ARATH Myosin-12 OS=Arabidopsis thaliana OX=3702 GN=XI-F PE=2 SV=1_1071_1134,0.437,0.557,0.04491307825062087,0.05581898671913429
sp|F4IRU3|MYO12_ARATH Myosin-12 OS=Arabidopsis thaliana OX=3702 GN=XI-F PE=2 SV=1_1221_1270,0.411,0.533,0.02504524982110535,0.03299557304476144
sp|F4IRU3|MYO12_ARATH Myosin-12 OS=Arabidopsis thaliana OX=3702 GN=XI-F PE=2 SV=1_1517_1556,0.446,0.522,0.014900871322136638,0.021878996556812594
sp|F4J9Q6|FKB43_ARATH Peptidyl-prolyl cis-trans isomerase FKBP43 OS=Arabidopsis thaliana OX=3702 GN=FKBP43 PE=1 SV=1_102_392,0.417,0.541,0.17628488445510795,0.1995277914412199
tr|F4JN22|F4JN22_ARATH non-specific serine/threonine protein kinase OS=Arabidopsis thaliana OX=3702 GN=At4g35500 PE=1 SV=1_193_249,0.44,0.586,0.036241949741128925,0.048499754058042306
tr|F4JRR2|F4JRR2_ARATH P-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g24860 PE=4 SV=1_1_90,0.445,0.57,0.0701687923559372,0.08720118052139697
tr|F4JRR2|F4JRR2_ARATH P-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g24860 PE=4 SV=1_236_284,0.435,0.562,0.02584501410110704,0.036045253320216436
tr|F4JRR2|F4JRR2_ARATH P-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g24860 PE=4 SV=1_423_483,0.429,0.569,0.041082628277981224,0.0552680767338908
tr|F4JRR2|F4JRR2_ARATH P-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g24860 PE=4 SV=1_1055_1122,0.373,0.499,0.03641032116849771,0.043148057058534195
tr|F4JTS9|F4JTS9_ARATH Pectin lyase-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g13760 PE=3 SV=1_1_58,0.435,0.537,0.0337163783305973,0.04367929168716183
sp|F4K4Y5|DEKP4_ARATH DEK domain-containing chromatin-associated protein 4 OS=Arabidopsis thaliana OX=3702 GN=DEK4 PE=1 SV=1_1_331,0.45,0.611,0.23706696973523594,0.26040334481062466
sp|F4K4Y5|DEKP4_ARATH DEK domain-containing chromatin-associated protein 4 OS=Arabidopsis thaliana OX=3702 GN=DEK4 PE=1 SV=1_472_689,0.372,0.468,0.12488950625078922,0.13816035415641909
sp|F4K4Y5|DEKP4_ARATH DEK domain-containing chromatin-associated protein 4 OS=Arabidopsis thaliana OX=3702 GN=DEK4 PE=1 SV=1_741_778,0.484,0.606,0.015911099886349284,0.0259517953762912
tr|F4KAN9|F4KAN9_ARATH Afadin/alpha-actinin-binding protein OS=Arabidopsis thaliana OX=3702 GN=MSF19.7 PE=1 SV=1_253_288,0.447,0.572,0.014732499894767851,0.02441711756025578
tr|F4KAN9|F4KAN9_ARATH Afadin/alpha-actinin-binding protein OS=Arabidopsis thaliana OX=3702 GN=MSF19.7 PE=1 SV=1_352_391,0.424,0.566,0.015321799890558568,0.026305951795376294
tr|F4KGY0|F4KGY0_ARATH GPI ethanolamine phosphate transferase 3 OS=Arabidopsis thaliana OX=3702 GN=MKP11.10 PE=1 SV=2_1_74,0.422,0.544,0.04924864250536683,0.05977373339891785
sp|O64583|P2C28_ARATH Probable protein phosphatase 2C 28 OS=Arabidopsis thaliana OX=3702 GN=At2g34740 PE=2 SV=2_1_78,0.388,0.484,0.04798585680010103,0.05574028529267094
sp|O64764|TRXO1_ARATH Thioredoxin O1; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At2g35010 PE=1 SV=1_1_84,0.42,0.543,0.05712000673485709,0.0671716674864732
sp|O65570|VILI4_ARATH Villin-4 OS=Arabidopsis thaliana OX=3702 GN=VLN4 PE=1 SV=1_732_934,0.413,0.547,0.14458896325293596,0.164997540580423
tr|O82236|O82236_ARATH F-box protein (DUF295) OS=Arabidopsis thaliana OX=3702 GN=ATFDB15 PE=4 SV=1_1_36,0.458,0.559,0.014311571326345921,0.026128873585833753
sp|P20115|CISY4_ARATH Citrate synthase 4; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=CSY4 PE=1 SV=3_1_31,0.428,0.509,0.0029885928357957616,0.0111952779144122
sp|P42753|CCD31_ARATH Cyclin-D3-1 OS=Arabidopsis thaliana OX=3702 GN=CYCD3-1 PE=1 SV=3_1_50,0.458,0.567,0.029170349791640352,0.03864240039350714
sp|P42753|CCD31_ARATH Cyclin-D3-1 OS=Arabidopsis thaliana OX=3702 GN=CYCD3-1 PE=1 SV=3_295_376,0.432,0.541,0.06124510670539209,0.07517953762911954
sp|P46286|RL81_ARATH Large ribosomal subunit protein uL2z OS=Arabidopsis thaliana OX=3702 GN=RPL8A PE=1 SV=2_201_258,0.446,0.553,0.036957528307446225,0.04606000983767831
tr|Q0WP38|Q0WP38_ARATH RING finger protein OS=Arabidopsis thaliana OX=3702 GN=At5g49710 PE=1 SV=1_1_127,0.429,0.557,0.09193079934335142,0.10815543531726513
sp|Q1PF35|RIC6_ARATH CRIB domain-containing protein RIC6 OS=Arabidopsis thaliana OX=3702 GN=RIC6 PE=1 SV=1_1_212,0.419,0.54,0.13166645620238243,0.15161829808165272
sp|Q2V370|DF218_ARATH Defensin-like protein 218 OS=Arabidopsis thaliana OX=3702 GN=At5g18403 PE=2 SV=1_1_35,0.473,0.588,0.016752957023193158,0.029021151008362035
sp|Q5PP12|AGP24_ARATH Arabinogalactan protein 24 OS=Arabidopsis thaliana OX=3702 GN=AGP24 PE=1 SV=1_1_69,0.427,0.568,0.04491307825062087,0.05670437776684703
