IDR1,IDR2,E_value
AvrRpm1d_N-terminal_1_100,AvrRpm1d_N-terminal_1_100,-0.09934358090558959
AvrRpm1d_N-terminal_1_100,HopI1e_Middle_180_300,-0.4669601822911176
AvrRpm1d_N-terminal_1_100,HopI1p_C-terminal_178_308,-0.9204766337147952
AvrRpm1d_N-terminal_1_100,HopAT1o_N-terminal_1_106,-0.8265611918114644
AvrRpm1d_N-terminal_1_100,AvrB2g_N-terminal_1_111,-1.3948891680269107
AvrRpm1d_N-terminal_1_100,HopBP1g_N-terminal_1_130,-0.3126725769229104
AvrRpm1d_N-terminal_1_100,HopBP1a_N-terminal_1_131,-0.03324155733604073
AvrRpm1d_N-terminal_1_100,HopF1i_N-terminal_1_118,-0.13577746571503369
AvrRpm1d_N-terminal_1_100,HopM1n_C-terminal_596_697,-0.1253725434239179
AvrRpm1d_N-terminal_1_100,HopAG1n_IDP_1_111,-0.2944130693616316
AvrRpm1d_N-terminal_1_100,HopR1d_C-terminal_1216_1324,-0.8005035269175913
HopI1e_Middle_180_300,AvrRpm1d_N-terminal_1_100,-0.5650218205722446
HopI1e_Middle_180_300,HopAR1g_N-terminal_1_141,-0.09006594472277385
HopI1e_Middle_180_300,HopAT1o_N-terminal_1_106,-1.6872481198339706
HopI1e_Middle_180_300,AvrB2g_N-terminal_1_111,-1.6891419085600212
HopI1e_Middle_180_300,HopF1i_N-terminal_1_118,-0.06230763249240212
HopI1g_Middle_142_284,HopAT1o_N-terminal_1_106,-1.116542157501506
HopI1g_Middle_142_284,AvrB2g_N-terminal_1_111,-0.9029005772744583
HopI1p_C-terminal_178_308,AvrRpm1d_N-terminal_1_100,-1.2058243901663843
HopI1p_C-terminal_178_308,HopZ1g_C-terminal_245_369,-0.6180711553719789
HopI1p_C-terminal_178_308,HopZ1a_C-terminal_240_369,-0.10575885000559282
HopI1p_C-terminal_178_308,HopAR1a_N-terminal_1_142,-0.8919192703971177
HopI1p_C-terminal_178_308,HopAR1g_N-terminal_1_141,-1.3626049442217791
HopI1p_C-terminal_178_308,HopAR1c_N-terminal_1_135,-0.9728059687012127
HopI1p_C-terminal_178_308,HopAR1e_N-terminal_1_134,-1.6358687846240159
HopI1p_C-terminal_178_308,HopAR1h_N-terminal_1_134,-0.9939234722845427
HopI1p_C-terminal_178_308,HopAT1o_N-terminal_1_106,-2.8250075937561654
HopI1p_C-terminal_178_308,AvrB2g_N-terminal_1_111,-2.107704752076671
HopI1p_C-terminal_178_308,HopR1c_Middle_1768_1895,-2.8994100682634105
HopI1p_C-terminal_178_308,HopBP1b_N-terminal_1_131,-0.362617029957363
HopI1p_C-terminal_178_308,HopBP1a_N-terminal_1_131,-0.3127367904306162
HopI1p_C-terminal_178_308,HopBP1f_N-terminal_1_131,-0.6225585572925993
HopI1p_C-terminal_178_308,HopF1i_N-terminal_1_118,-1.2443155359616185
HopI1p_C-terminal_178_308,HopAG1n_IDP_1_111,-0.37475272350556565
HopI1p_C-terminal_178_308,HopZ1h_C-terminal_247_369,-0.514761520917645
HopZ1g_C-terminal_245_369,HopI1p_C-terminal_178_308,-0.5897625528358539
HopZ1g_C-terminal_245_369,HopAT1o_N-terminal_1_106,-0.37601909882621243
HopZ1g_C-terminal_245_369,AvrB2g_N-terminal_1_111,-0.5915832948624029
HopZ1g_C-terminal_245_369,HopR1d_C-terminal_1216_1324,-0.029158002001256733
HopZ1a_C-terminal_240_369,HopI1p_C-terminal_178_308,-0.10495153053990336
HopZ1a_C-terminal_240_369,HopAT1o_N-terminal_1_106,-0.5320031287822928
HopZ1a_C-terminal_240_369,AvrB2g_N-terminal_1_111,-0.7580942668186239
HopAB1r_N-terminal_1_128,HopAT1o_N-terminal_1_106,-0.4510181757410052
HopAB1r_N-terminal_1_128,AvrB2g_N-terminal_1_111,-0.947570023565909
HopAB1i_N-terminal_1_145,HopAT1o_N-terminal_1_106,-0.8803714983478237
HopAB1i_N-terminal_1_145,AvrB2g_N-terminal_1_111,-1.2493264272543598
HopAB1i_Middle_214_315,HopAT1o_N-terminal_1_106,-1.1731585398193083
HopAB1i_Middle_214_315,AvrB2g_N-terminal_1_111,-0.8446328549696585
HopAB1s_N-terminal_1_143,HopAT1o_N-terminal_1_106,-0.3730630193004174
HopAB1s_N-terminal_1_143,AvrB2g_N-terminal_1_111,-0.8416505087605017
HopAB1j_N-terminal_1_145,HopAT1o_N-terminal_1_106,-0.5734704961441537
HopAB1j_N-terminal_1_145,AvrB2g_N-terminal_1_111,-1.0047132973896211
HopAB1g_N-terminal_1_144,HopAT1o_N-terminal_1_106,-0.646792725153329
HopAB1g_N-terminal_1_144,AvrB2g_N-terminal_1_111,-1.0661255504953537
HopAB1d_N-terminal_1_121,HopAT1o_N-terminal_1_106,-0.44552104724733255
HopAB1d_N-terminal_1_121,AvrB2g_N-terminal_1_111,-0.9068901705996808
HopAB1af_N-terminal_1_144,HopAT1o_N-terminal_1_106,-0.7583719031826917
HopAB1af_N-terminal_1_144,AvrB2g_N-terminal_1_111,-1.114977044139419
HopAB1af_C-terminal_346_449,HopAT1o_N-terminal_1_106,-0.4769607782768652
HopAB1af_C-terminal_346_449,AvrB2g_N-terminal_1_111,-0.376512520916954
HopAB1p_N-terminal_1_142,HopAT1o_N-terminal_1_106,-0.7745771656893972
HopAB1p_N-terminal_1_142,AvrB2g_N-terminal_1_111,-1.1708173046135038
HopAR1a_N-terminal_1_142,HopI1p_C-terminal_178_308,-0.9668132549342836
HopAR1a_N-terminal_1_142,HopAT1o_N-terminal_1_106,-0.6172372759069447
HopAR1a_N-terminal_1_142,AvrB2g_N-terminal_1_111,-0.8449405200615594
HopAR1a_N-terminal_1_142,HopR1d_C-terminal_1216_1324,-0.30500970545496386
HopAR1g_N-terminal_1_141,HopI1e_Middle_180_300,-0.1049528777348101
HopAR1g_N-terminal_1_141,HopI1p_C-terminal_178_308,-1.46662058881887
HopAR1g_N-terminal_1_141,HopAT1o_N-terminal_1_106,-1.3427147235854804
HopAR1g_N-terminal_1_141,AvrB2g_N-terminal_1_111,-1.8334725966772503
