,IDR1,IDR2,E_value
676978,Q9SJF3_middle_1_141_220,HopM1s_C-terminal_1_801_836,-3.381441999027949
677244,Q9SJF3_middle_1_141_220,HopM1l_C-terminal_1_264_294,-3.1156158447377003
677806,Q9SJF3_middle_2_221_300,HopM1s_C-terminal_1_801_836,-2.7785725222766153
678072,Q9SJF3_middle_2_221_300,HopM1l_C-terminal_1_264_294,-2.768711112650111
677013,Q9SJF3_middle_1_141_220,HopM1n_Middle_1_504_544,-1.3981730810730149
678900,Q9SJF3_middle_3_301_334,HopM1l_C-terminal_1_264_294,-1.139067336975235
677841,Q9SJF3_middle_2_221_300,HopM1n_Middle_1_504_544,-1.132171443192366
677016,Q9SJF3_middle_1_141_220,HopM1j_C-terminal_1_599_678,-0.7155482420252888
678634,Q9SJF3_middle_3_301_334,HopM1s_C-terminal_1_801_836,-0.7055881737105238
678672,Q9SJF3_middle_3_301_334,HopM1j_C-terminal_1_599_678,-0.5259748949531504
