,IDR1,IDR2,E_value
671768,P93002_C-terminal_1_557_593,HopBL1b_Middle_1_412_491,-0.7954515007067728
671586,P93002_C-terminal_1_557_593,HopX1b_Middle_1_205_249,-0.770621471559017
671798,P93002_C-terminal_1_557_593,AvrB2g_N-terminal_2_81_111,-0.45889688360643266
671766,P93002_C-terminal_1_557_593,HopBL1a_Middle_2_482_553,-0.438477228931645
671743,P93002_C-terminal_1_557_593,HopAR1b_N-terminal_2_81_160,-0.18681694642586244
671728,P93002_C-terminal_1_557_593,HopAB1n_Middle_1_427_466,-0.16816663337598925
672232,P93002_C-terminal_1_557_593,HopAB1q_Middle_1_465_518,-0.1568505209954303
671584,P93002_C-terminal_1_557_593,HopX1c_Middle_1_212_267,-0.14958026230902544
672248,P93002_C-terminal_1_557_593,HopAG1n_IDP_2_81_111,-0.11832990574423174
671787,P93002_C-terminal_1_557_593,HopAH1q_C-terminal_1_353_421,-0.04778890017710413
