 FASTA header,location, IDR start, IDR end
tr|A0A1P8B415|A0A1P8B415_ARATH Triglyceride lipase OS=Arabidopsis thaliana OX=3702 GN=HIL1 PE=1 SV=1,N-terminal,1,66
tr|A0A1P8B415|A0A1P8B415_ARATH Triglyceride lipase OS=Arabidopsis thaliana OX=3702 GN=HIL1 PE=1 SV=1,middle,306,525
sp|A4FVP2|TPS03_ARATH Terpenoid synthase 3; chloroplastic OS=Arabidopsis thaliana OX=3702 GN=TPS03 PE=1 SV=1,N-terminal,1,34
sp|F4I316|SUN3_ARATH SUN domain-containing protein 3 OS=Arabidopsis thaliana OX=3702 GN=SUN3 PE=1 SV=1,N-terminal,1,292
sp|F4I316|SUN3_ARATH SUN domain-containing protein 3 OS=Arabidopsis thaliana OX=3702 GN=SUN3 PE=1 SV=1,middle,415,496
sp|F4IB81|LYK3_ARATH LysM domain receptor-like kinase 3 OS=Arabidopsis thaliana OX=3702 GN=LYK3 PE=2 SV=1,middle,191,325
sp|F4IRU3|MYO12_ARATH Myosin-12 OS=Arabidopsis thaliana OX=3702 GN=XI-F PE=2 SV=1,middle,1071,1134
sp|F4IRU3|MYO12_ARATH Myosin-12 OS=Arabidopsis thaliana OX=3702 GN=XI-F PE=2 SV=1,middle,1221,1270
sp|F4IRU3|MYO12_ARATH Myosin-12 OS=Arabidopsis thaliana OX=3702 GN=XI-F PE=2 SV=1,C-terminal,1517,1556
sp|F4J9Q6|FKB43_ARATH Peptidyl-prolyl cis-trans isomerase FKBP43 OS=Arabidopsis thaliana OX=3702 GN=FKBP43 PE=1 SV=1,middle,102,392
tr|F4JN22|F4JN22_ARATH non-specific serine/threonine protein kinase OS=Arabidopsis thaliana OX=3702 GN=At4g35500 PE=1 SV=1,middle,193,249
tr|F4JRR2|F4JRR2_ARATH P-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g24860 PE=4 SV=1,N-terminal,1,90
tr|F4JRR2|F4JRR2_ARATH P-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g24860 PE=4 SV=1,middle,236,284
tr|F4JRR2|F4JRR2_ARATH P-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g24860 PE=4 SV=1,middle,423,483
tr|F4JRR2|F4JRR2_ARATH P-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g24860 PE=4 SV=1,C-terminal,1055,1122
tr|F4JTS9|F4JTS9_ARATH Pectin lyase-like superfamily protein OS=Arabidopsis thaliana OX=3702 GN=At4g13760 PE=3 SV=1,N-terminal,1,58
sp|F4K4Y5|DEKP4_ARATH DEK domain-containing chromatin-associated protein 4 OS=Arabidopsis thaliana OX=3702 GN=DEK4 PE=1 SV=1,N-terminal,1,331
sp|F4K4Y5|DEKP4_ARATH DEK domain-containing chromatin-associated protein 4 OS=Arabidopsis thaliana OX=3702 GN=DEK4 PE=1 SV=1,middle,472,689
sp|F4K4Y5|DEKP4_ARATH DEK domain-containing chromatin-associated protein 4 OS=Arabidopsis thaliana OX=3702 GN=DEK4 PE=1 SV=1,C-terminal,741,778
tr|F4KAN9|F4KAN9_ARATH Afadin/alpha-actinin-binding protein OS=Arabidopsis thaliana OX=3702 GN=MSF19.7 PE=1 SV=1,middle,253,288
tr|F4KAN9|F4KAN9_ARATH Afadin/alpha-actinin-binding protein OS=Arabidopsis thaliana OX=3702 GN=MSF19.7 PE=1 SV=1,C-terminal,352,391
tr|F4KGY0|F4KGY0_ARATH GPI ethanolamine phosphate transferase 3 OS=Arabidopsis thaliana OX=3702 GN=MKP11.10 PE=1 SV=2,N-terminal,1,74
sp|O64583|P2C28_ARATH Probable protein phosphatase 2C 28 OS=Arabidopsis thaliana OX=3702 GN=At2g34740 PE=2 SV=2,N-terminal,1,78
sp|O64764|TRXO1_ARATH Thioredoxin O1; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=At2g35010 PE=1 SV=1,N-terminal,1,84
sp|O65570|VILI4_ARATH Villin-4 OS=Arabidopsis thaliana OX=3702 GN=VLN4 PE=1 SV=1,middle,732,934
tr|O82236|O82236_ARATH F-box protein (DUF295) OS=Arabidopsis thaliana OX=3702 GN=ATFDB15 PE=4 SV=1,N-terminal,1,36
sp|P20115|CISY4_ARATH Citrate synthase 4; mitochondrial OS=Arabidopsis thaliana OX=3702 GN=CSY4 PE=1 SV=3,N-terminal,1,31
sp|P42753|CCD31_ARATH Cyclin-D3-1 OS=Arabidopsis thaliana OX=3702 GN=CYCD3-1 PE=1 SV=3,N-terminal,1,50
sp|P42753|CCD31_ARATH Cyclin-D3-1 OS=Arabidopsis thaliana OX=3702 GN=CYCD3-1 PE=1 SV=3,C-terminal,295,376
sp|P46286|RL81_ARATH Large ribosomal subunit protein uL2z OS=Arabidopsis thaliana OX=3702 GN=RPL8A PE=1 SV=2,C-terminal,201,258
tr|Q0WP38|Q0WP38_ARATH RING finger protein OS=Arabidopsis thaliana OX=3702 GN=At5g49710 PE=1 SV=1,N-terminal,1,127
sp|Q1PF35|RIC6_ARATH CRIB domain-containing protein RIC6 OS=Arabidopsis thaliana OX=3702 GN=RIC6 PE=1 SV=1,IDP,1,212
sp|Q2V370|DF218_ARATH Defensin-like protein 218 OS=Arabidopsis thaliana OX=3702 GN=At5g18403 PE=2 SV=1,N-terminal,1,35
