0	1	2	3
AvrRpm1a 	1	80	N-terminal_1
AvrRpm1a 	81	160	N-terminal_2
AvrRpm1a 	161	228	N-terminal_3
AvrRpm1h 	1	80	N-terminal_1
AvrRpm1h 	81	160	N-terminal_2
AvrRpm1h 	161	228	N-terminal_3
AvrRpm1d 	1	80	N-terminal_1
AvrRpm1e 	1	55	N-terminal_1
AvrRpm1f 	1	45	N-terminal_1
AvrRpm1i 	1	52	N-terminal_1
AvrRpm1c 	1	51	N-terminal_1
AvrRpm1g 	1	80	IDP_1
AvrRpm1g 	81	160	IDP_2
AvrRpm1g 	161	229	IDP_3
AvrB2c 	1	80	N-terminal_1
AvrB2g 	1	80	N-terminal_1
AvrB2g 	81	111	N-terminal_2
AvrB2e 	1	58	N-terminal_1
AvrB2d 	1	52	N-terminal_1
AvrB2a 	1	50	N-terminal_1
AvrB2b 	1	42	N-terminal_1
AvrB2f 	1	44	N-terminal_1
AvrB1b 	1	31	N-terminal_1
AvrRpt2a 	1	80	N-terminal_1
AvrRpt2b 	1	80	N-terminal_1
AvrRpt2c 	1	80	N-terminal_1
Q8GYN5	1	80	IDP_1
Q8GYN5	81	160	IDP_2
Q8GYN5	161	211	IDP_3
