0	1	2	3
AvrRpm1a 	1	228	N-terminal
AvrRpm1h 	1	228	N-terminal
AvrRpm1d 	1	100	N-terminal
AvrRpm1e 	1	55	N-terminal
AvrRpm1f 	1	45	N-terminal
AvrRpm1i 	1	52	N-terminal
AvrRpm1c 	1	51	N-terminal
AvrRpm1g 	1	229	IDP
AvrB2c 	1	90	N-terminal
AvrB2g 	1	111	N-terminal
AvrB2e 	1	58	N-terminal
AvrB2d 	1	52	N-terminal
AvrB2a 	1	50	N-terminal
AvrB2b 	1	42	N-terminal
AvrB2f 	1	44	N-terminal
AvrB1b 	1	31	N-terminal
AvrRpt2a 	1	109	N-terminal
AvrRpt2b 	1	105	N-terminal
AvrRpt2c 	1	104	N-terminal
Q8GYN5	1	211	IDP
