,IDR1,IDR2,E_value
677156,Q9SJF3_middle_1_141_220,HopAS1f_C-terminal_1_341_377,-4.714479196522017
677984,Q9SJF3_middle_2_221_300,HopAS1f_C-terminal_1_341_377,-3.9779814164439404
676978,Q9SJF3_middle_1_141_220,HopM1s_C-terminal_1_801_836,-3.381441999027949
677244,Q9SJF3_middle_1_141_220,HopM1l_C-terminal_1_264_294,-3.1156158447377003
677806,Q9SJF3_middle_2_221_300,HopM1s_C-terminal_1_801_836,-2.7785725222766153
678072,Q9SJF3_middle_2_221_300,HopM1l_C-terminal_1_264_294,-2.768711112650111
677207,Q9SJF3_middle_1_141_220,HopD2h_C-terminal_1_157_187,-1.7847025577723166
678035,Q9SJF3_middle_2_221_300,HopD2h_C-terminal_1_157_187,-1.6671705330568898
678320,Q9SJF3_middle_3_301_334,HopBL1b_Middle_1_412_491,-1.561129324245162
678350,Q9SJF3_middle_3_301_334,AvrB2g_N-terminal_2_81_111,-1.511228405439304
