0	1	2	3
HopX1a 	1	80	N-terminal_1
HopX1a 	200	247	Middle_1
HopX1a 	298	377	C-terminal_1
HopX1c 	1	80	N-terminal_1
HopX1c 	212	267	Middle_1
HopX1b 	1	74	N-terminal_1
HopX1b 	205	249	Middle_1
HopX1i 	1	80	N-terminal_1
HopX1i 	81	158	N-terminal_2
HopX1i 	215	294	C-terminal_1
HopX1i 	295	374	C-terminal_2
HopX1e 	1	80	N-terminal_1
HopX1e 	81	160	N-terminal_2
HopX1e 	161	240	N-terminal_3
HopX1e 	241	320	N-terminal_4
HopX1e 	321	382	N-terminal_5
HopX1d 	1	80	N-terminal_1
HopX1d 	81	153	N-terminal_2
HopX1d 	216	295	C-terminal_1
HopX1d 	296	375	C-terminal_2
HopX1g 	1	68	N-terminal_1
HopX1g 	215	249	Middle_1
HopBO1c 	1	57	N-terminal_1
HopBO1c 	112	191	Middle_1
HopBO1b 	1	59	N-terminal_1
HopBO1b 	105	171	Middle_1
HopBO1a 	1	57	N-terminal_1
HopBO1a 	115	194	Middle_1
HopBO1d 	1	53	N-terminal_1
HopBO1d 	107	166	Middle_1
AvrRpm1a 	1	80	N-terminal_1
AvrRpm1a 	81	160	N-terminal_2
AvrRpm1a 	161	228	N-terminal_3
AvrRpm1h 	1	80	N-terminal_1
AvrRpm1h 	81	160	N-terminal_2
AvrRpm1h 	161	228	N-terminal_3
AvrRpm1d 	1	80	N-terminal_1
AvrRpm1e 	1	55	N-terminal_1
AvrRpm1f 	1	45	N-terminal_1
AvrRpm1i 	1	52	N-terminal_1
HopO1h 	1	80	N-terminal_1
HopO1h 	215	294	C-terminal_1
HopD1d 	1	47	N-terminal_1
HopD1d 	89	168	Middle_1
HopD1d 	169	209	Middle_2
HopD1a 	1	54	N-terminal_1
HopD1a 	126	205	Middle_1
HopD1e 	1	80	N-terminal_1
HopD1e 	81	160	N-terminal_2
HopD1c 	1	36	N-terminal_1
HopB1a 	1	80	N-terminal_1
HopB1a 	81	121	N-terminal_2
HopB1d 	1	80	N-terminal_1
HopB1d 	81	131	N-terminal_2
HopB1b 	1	80	N-terminal_1
HopB1b 	81	139	N-terminal_2
HopI1c 	178	257	Middle_1
HopI1c 	258	337	Middle_2
HopI1e 	180	259	Middle_1
HopI1e 	260	300	Middle_2
HopI1g 	142	221	Middle_1
HopI1g 	222	284	Middle_2
HopI1o 	177	256	Middle_1
HopI1l 	178	257	Middle_1
HopI1n 	178	257	Middle_1
HopI1d 	178	257	Middle_1
HopI1a 	178	257	Middle_1
HopI1b 	178	257	Middle_1
HopI1j 	178	256	Middle_1
HopI1f 	178	256	Middle_1
HopI1h 	178	257	C-terminal_1
HopI1h 	258	334	C-terminal_2
HopI1p 	178	257	C-terminal_1
HopI1p 	258	308	C-terminal_2
HopG1a 	1	65	N-terminal_1
HopG1b 	1	64	N-terminal_1
HopG1c 	1	63	N-terminal_1
HopQ1b 	1	55	N-terminal_1
HopQ1a 	1	58	N-terminal_1
HopAI1a 	190	267	C-terminal_1
HopAI1b 	192	267	C-terminal_1
HopAI1d 	197	267	C-terminal_1
HopAI1g 	203	267	C-terminal_1
HopAI1c 	203	267	C-terminal_1
HopAI1m 	193	267	C-terminal_1
HopAI1k 	192	267	C-terminal_1
AvrPto1f 	1	80	N-terminal_1
AvrPto1f 	81	160	N-terminal_2
AvrPto1d 	1	80	N-terminal_1
AvrPto1d 	81	160	N-terminal_2
AvrPto1m 	1	80	N-terminal_1
AvrPto1m 	81	160	N-terminal_2
AvrPto1k 	1	80	N-terminal_1
AvrPto1k 	81	160	N-terminal_2
AvrPto1e 	1	80	N-terminal_1
AvrPto1e 	81	160	N-terminal_2
AvrPto1i 	1	80	N-terminal_1
AvrPto1i 	81	160	N-terminal_2
AvrPto1h 	1	80	N-terminal_1
AvrPto1h 	81	160	N-terminal_2
AvrPto1c 	1	80	N-terminal_1
AvrPto1c 	81	160	N-terminal_2
AvrPto1l 	1	80	N-terminal_1
AvrPto1l 	81	160	N-terminal_2
AvrPto1a 	1	80	N-terminal_1
AvrPto1a 	81	160	N-terminal_2
AvrPto1b 	1	44	N-terminal_1
HopZ1m 	1	48	N-terminal_1
HopZ1m 	304	367	C-terminal_1
HopZ1g 	1	50	N-terminal_1
HopZ1g 	245	324	C-terminal_1
HopZ1g 	325	369	C-terminal_2
HopZ1a 	1	49	N-terminal_1
HopZ1a 	240	319	C-terminal_1
HopZ1a 	320	369	C-terminal_2
HopZ1e 	1	49	N-terminal_1
HopAB1r 	1	80	N-terminal_1
HopAB1r 	81	128	N-terminal_2
HopAB1r 	201	245	Middle_1
