0	1	2	3
HopD1d 	1	47	IDR_1
HopZ1m 	304	367	IDR_1
HopAF1n 	1	50	IDR_1
AvrE1x 	1054	1133	IDR_1
HopW1m 	670	749	IDR_1
HopA1c 	98	131	IDR_1
HopBP1a 	330	407	IDR_1
HopM1ac 	86	162	IDR_1
HopAB1a 	167	242	IDR_1
HopW1b 	1	38	IDR_1
HopBP1c 	1	80	IDR_1
HopBP1c 	81	130	IDR_2
HopO1h 	215	294	IDR_1
HopM1n 	1	58	IDR_1
AvrE1c 	1	80	IDR_1
AvrE1c 	81	160	IDR_2
AvrE1c 	161	240	IDR_3
AvrE1c 	241	320	IDR_4
AvrE1c 	321	354	IDR_5
HopAI1n 	1	80	IDR_1
HopAB1aa 	1	40	IDR_1
HopO2b 	1	80	IDR_1
HopO2b 	81	125	IDR_2
HopR1d 	1216	1295	IDR_1
HopAS1e 	1273	1329	IDR_1
HopQ1b 	1	55	IDR_1
AvrPto1g 	1	80	IDR_1
AvrPto1g 	81	160	IDR_2
HopAA1l 	1	40	IDR_1
HopZ2c 	1	57	IDR_1
HopBL1a 	402	481	IDR_1
HopBL1a 	482	553	IDR_2
HopAT1b 	772	806	IDR_1
HopY1a 	1	80	IDR_1
HopY1a 	81	160	IDR_2
HopY1a 	161	240	IDR_3
HopY1a 	241	287	IDR_4
AvrE1z 	1425	1461	IDR_1
HopF1m 	1	34	IDR_1
HopZ5a 	1	44	IDR_1
HopX1a 	298	377	IDR_1
HopW1f 	1	50	IDR_1
AvrPto1a 	1	80	IDR_1
AvrPto1a 	81	160	IDR_2
HopAA1m 	116	195	IDR_1
HopAA1m 	196	275	IDR_2
HopAA1m 	276	355	IDR_3
HopAA1m 	356	435	IDR_4
HopAA1m 	436	489	IDR_5
HopF1o 	1	36	IDR_1
HopBA1a 	1	31	IDR_1
HopZ5a 	252	331	IDR_1
AvrPto1l 	1	80	IDR_1
AvrPto1l 	81	160	IDR_2
HopAT1c 	1	80	IDR_1
HopW1u 	749	828	IDR_1
HopW1u 	829	908	IDR_2
HopW1u 	909	973	IDR_3
HopR1f 	1680	1719	IDR_1
HopAB1m 	1	80	IDR_1
HopM1s 	801	836	IDR_1
HopAB1i 	1	80	IDR_1
HopAB1i 	81	145	IDR_2
HopM1af 	1	80	IDR_1
HopAL1a 	1	77	IDR_1
HopAT1d 	717	763	IDR_1
HopI1s 	179	258	IDR_1
HopI1s 	259	338	IDR_2
HopI1s 	339	415	IDR_3
HopM1l 	1	80	IDR_1
HopO2d 	1	80	IDR_1
HopO2d 	81	115	IDR_2
HopZ1f 	1	59	IDR_1
HopAI1k 	192	267	IDR_1
HopX1d 	1	80	IDR_1
HopX1d 	81	153	IDR_2
HopZ5b 	283	346	IDR_1
HopAQ1a 	1	80	IDR_1
HopAU1a 	614	693	IDR_1
HopAU1a 	694	731	IDR_2
HopM1ab 	556	635	IDR_1
HopM1ab 	636	715	IDR_2
HopM1ab 	716	760	IDR_3
HopX1b 	205	249	IDR_1
HopAZ1n 	1	80	IDR_1
HopAB1s 	216	295	IDR_1
HopW1c 	804	883	IDR_1
HopW1c 	884	916	IDR_2
HopF1f 	117	147	IDR_1
HopAG1l 	1	45	IDR_1
HopB2k 	1	36	IDR_1
AvrPto1h 	1	80	IDR_1
AvrPto1h 	81	160	IDR_2
HopW1e 	809	888	IDR_1
HopX1j 	1	80	IDR_1
HopX1j 	81	160	IDR_2
HopX1j 	161	240	IDR_3
HopX1j 	241	320	IDR_4
HopX1j 	321	382	IDR_5
HopZ1h 	1	49	IDR_1
HopD2h 	157	187	IDR_1
HopA1g 	65	127	IDR_1
HopBD1g 	1	41	IDR_1
HopBL1b 	696	731	IDR_1
AvrE1y 	1657	1719	IDR_1
HopZ1g 	245	324	IDR_1
HopZ1g 	325	369	IDR_2
HopI1c 	178	257	IDR_1
HopI1c 	258	337	IDR_2
HopZ1e 	1	49	IDR_1
HopY1b 	66	145	IDR_1
HopY1b 	146	217	IDR_2
HopAS1i 	682	733	IDR_1
