0	1	2	3
 Q87UU1	1	40	IDR_1
 Q87UG9	393	445	IDR_1
 Q884E2	1	59	IDR_1
 Q881W2	1	35	IDR_1
 Q88BH2	86	128	IDR_1
 Q87X68	374	406	IDR_1
 Q87TS6	1	35	IDR_1
 Q88BM5	1	69	IDR_1
 Q88BW5	1	47	IDR_1
 Q881X8	408	444	IDR_1
 Q884P6	1	43	IDR_1
 Q87YB5	238	283	IDR_1
 Q886W4	1	54	IDR_1
 Q880Y5	1	48	IDR_1
 Q87YN1	387	466	IDR_1
 Q87YW9	1	40	IDR_1
 Q87X11	127	164	IDR_1
 D3NQ23	1	80	IDR_1
 D3NQ23	81	160	IDR_2
 Q87Y91	112	158	IDR_1
 Q889Z0	1	80	IDR_1
 Q889Z0	81	113	IDR_2
 Q886L2	1	32	IDR_1
 Q881N3	127	165	IDR_1
 Q87YA5	1	41	IDR_1
 Q883B2	1	38	IDR_1
 Q87VS2	63	142	IDR_1
 Q87VS2	143	222	IDR_2
 Q87VS2	223	287	IDR_3
 Q87YI4	1	80	IDR_1
 Q87YI4	81	136	IDR_2
 Q87WP1	70	121	IDR_1
 Q9F0H3	1	67	IDR_1
 Q87VU4	1	70	IDR_1
 Q887Y0	1	52	IDR_1
 Q87XJ7	1	42	IDR_1
 Q888K5	1	80	IDR_1
 Q888K5	81	160	IDR_2
 Q880D4	1	80	IDR_1
 Q885Y0	1	32	IDR_1
 Q887W3	1	75	IDR_1
 Q87YZ2	1	34	IDR_1
 Q87W77	128	207	IDR_1
 Q884V4	124	203	IDR_1
 Q884V4	204	283	IDR_2
 Q884V4	284	363	IDR_3
 Q881L9	233	312	IDR_1
 Q881L9	313	392	IDR_2
 Q881L9	393	472	IDR_3
 Q881L9	473	509	IDR_4
 Q87YY5	1	80	IDR_1
 Q87YY5	81	139	IDR_2
 Q87VH5	1	44	IDR_1
 Q88AV0	1	65	IDR_1
 Q881N5	1	80	IDR_1
 Q884K6	1	80	IDR_1
 Q884K6	81	138	IDR_2
 Q88AZ0	1	80	IDR_1
 Q88AZ0	81	135	IDR_2
 Q883M9	400	479	IDR_1
 Q883M9	480	559	IDR_2
 Q883M9	560	596	IDR_3
 Q87WY8	1	36	IDR_1
 Q88BU7	1	80	IDR_1
 Q888U1	1	52	IDR_1
 Q885L4	103	137	IDR_1
 Q87XF7	1	32	IDR_1
 Q887B2	1	31	IDR_1
 Q87YL6	421	451	IDR_1
 Q885D5	1	31	IDR_1
 Q877R9	1	45	IDR_1
 Q884D1	1	80	IDR_1
 Q884D1	81	160	IDR_2
 Q886D3	302	381	IDR_1
 Q886D3	382	417	IDR_2
 Q87UT7	1	39	IDR_1
 Q87XM2	266	301	IDR_1
 Q883F4	1	30	IDR_1
 Q88AD9	1	80	IDR_1
 Q88AD9	81	160	IDR_2
 Q88AD9	161	239	IDR_3
 Q889U1	111	189	IDR_1
 Q889B2	1	73	IDR_1
 Q881G9	1	53	IDR_1
 Q886F9	1	36	IDR_1
 Q87U19	1	51	IDR_1
 Q883S7	1	57	IDR_1
 Q881L7	668	716	IDR_1
 Q87Y57	1	80	IDR_1
 Q88BN9	618	650	IDR_1
 Q877K9	399	452	IDR_1
 Q87V19	1	32	IDR_1
 Q87WF8	1	80	IDR_1
 Q883M9	106	185	IDR_1
 Q87XI6	1	44	IDR_1
 Q883Q5	168	199	IDR_1
 Q87WA6	442	479	IDR_1
 Q87WU0	1	80	IDR_1
 Q87WU0	81	132	IDR_2
 Q880E1	5247	5326	IDR_1
 Q880E1	5327	5406	IDR_2
 Q880E1	5407	5486	IDR_3
 Q888V8	139	170	IDR_1
 Q889Y9	1	33	IDR_1
 Q884U4	1	70	IDR_1
 Q882I6	1	35	IDR_1
 Q87VS9	221	250	IDR_1
 Q87XN3	1	72	IDR_1
 Q87XQ8	1	38	IDR_1
 Q882E9	1	40	IDR_1
 Q888J8	1	74	IDR_1
 Q88B83	129	208	IDR_1
 Q88B83	209	288	IDR_2
 Q88B83	289	318	IDR_3
 Q886T1	263	323	IDR_1
 Q87Z25	1	52	IDR_1
 Q87YI0	625	704	IDR_1
 Q87YI0	705	784	IDR_2
 Q87YI0	785	864	IDR_3
 Q87YI0	865	944	IDR_4
 Q877R8	1	80	IDR_1
 Q882A2	1	31	IDR_1
 Q87ZG4	228	299	IDR_1
 Q886I7	1	48	IDR_1
 Q87UY6	81	153	IDR_1
 Q884Z2	1	36	IDR_1
 Q87V27	1	41	IDR_1
 Q885W1	1	36	IDR_1
 Q87Z22	404	483	IDR_1
 Q887W7	247	292	IDR_1
 Q87VB5	1093	1134	IDR_1
 Q87ZU8	1	35	IDR_1
 Q87WN6	118	173	IDR_1
 Q88B78	238	267	IDR_1
 Q880Q0	1	48	IDR_1
 Q87XQ2	131	210	IDR_1
 Q87XQ2	211	252	IDR_2
 Q885N5	1	32	IDR_1
 Q889H3	1095	1158	IDR_1
 Q880E1	4465	4544	IDR_1
 Q880E1	4545	4624	IDR_2
 Q880E1	4625	4704	IDR_3
 Q880E1	4705	4784	IDR_4
 Q880E1	4785	4837	IDR_5
 Q887Q8	1	39	IDR_1
 Q87XU9	362	391	IDR_1
 Q882L3	1	39	IDR_1
 Q87VP7	1	37	IDR_1
 Q88B13	1	80	IDR_1
 Q885D0	1	79	IDR_1
 Q884X8	514	593	IDR_1
 Q88BK3	73	152	IDR_1
 Q881A5	423	452	IDR_1
 Q880D5	1	62	IDR_1
 Q87Y48	1	66	IDR_1
 Q886D3	133	212	IDR_1
 Q886D3	213	249	IDR_2
 Q87XY0	1	52	IDR_1
 Q88BS6	1075	1154	IDR_1
 Q88BS6	1155	1231	IDR_2
 Q885Q6	442	485	IDR_1
 Q87WW2	102	147	IDR_1
 Q883X2	1	38	IDR_1
 Q87Y47	1	34	IDR_1
 Q88AG5	1	44	IDR_1
 Q883Q4	1	80	IDR_1
 Q87XX2	241	288	IDR_1
 Q88BI7	672	746	IDR_1
 Q88BS0	1	35	IDR_1
 Q87ZN4	316	347	IDR_1
 Q885Z9	425	460	IDR_1
 Q88BG3	1	34	IDR_1
 Q885M6	1	57	IDR_1
 Q885B0	1	48	IDR_1
 Q87VI4	1	80	IDR_1
 Q87VI4	81	113	IDR_2
 Q888Y8	126	205	IDR_1
 Q880M5	1	80	IDR_1
 Q880M5	81	137	IDR_2
 Q87ZE7	610	640	IDR_1
 Q87VS8	1	80	IDR_1
 Q87XS3	1	80	IDR_1
 Q87XS3	81	116	IDR_2
 Q888N7	112	147	IDR_1
 Q887R4	1	64	IDR_1
 Q886H8	1	35	IDR_1
 Q87XX8	429	508	IDR_1
 Q87XX8	509	588	IDR_2
 Q87XX8	589	668	IDR_3
 Q87XX8	669	748	IDR_4
 Q87XX8	749	798	IDR_5
 Q887H5	1	51	IDR_1
 Q87XD3	1	72	IDR_1
 Q87U72	622	680	IDR_1
 Q87VW3	214	250	IDR_1
 Q886R3	59	138	IDR_1
 Q886R3	139	172	IDR_2
 Q87TY3	1	39	IDR_1
 Q884N8	1	74	IDR_1
 Q884A7	1	42	IDR_1
 Q87VB5	1	36	IDR_1
 Q881K8	1	32	IDR_1
 Q88AV5	1	39	IDR_1
 Q87XW9	1	64	IDR_1
 Q88B97	343	395	IDR_1
 Q87VG3	1	35	IDR_1
 Q884Y5	1	53	IDR_1
 Q87Z53	1	40	IDR_1
 Q888J6	1	41	IDR_1
 Q87X03	402	455	IDR_1
 Q88BW4	1	42	IDR_1
 Q882D5	1	35	IDR_1
 Q88AW3	43	85	IDR_1
 Q88BT3	1	46	IDR_1
 Q87Z11	1	80	IDR_1
 Q52473	1	80	IDR_1
 Q52473	81	113	IDR_2
 Q885X6	1	59	IDR_1
 Q87WR1	347	383	IDR_1
 Q877R9	239	276	IDR_1
 Q889C1	374	453	IDR_1
 Q889C1	454	513	IDR_2
 Q88BL6	1	35	IDR_1
 Q88AZ6	99	135	IDR_1
 Q87WQ2	89	126	IDR_1
 Q87UX6	81	138	IDR_1
 Q883B1	439	508	IDR_1
 Q87YN3	1	57	IDR_1
 Q87XS7	1	49	IDR_1
 Q87VP9	1	30	IDR_1
 Q885S4	1	44	IDR_1
 Q88A14	1	64	IDR_1
 Q87Y42	106	150	IDR_1
 Q87ZX2	1	49	IDR_1
 Q880K3	38	67	IDR_1
 Q886S1	231	260	IDR_1
 Q87W96	1	30	IDR_1
 Q883N8	1	31	IDR_1
 Q883J9	1	80	IDR_1
 Q883J9	81	122	IDR_2
 Q87W90	371	442	IDR_1
 Q87VW8	1	55	IDR_1
 Q1XFZ9	1	36	IDR_1
 Q87UR2	148	191	IDR_1
 Q886H6	1	39	IDR_1
 Q888Z4	1	39	IDR_1
 Q87WC4	1	35	IDR_1
 Q88BH4	667	703	IDR_1
 Q887T1	44	123	IDR_1
 Q87XI2	60	112	IDR_1
 Q87ZN8	1	80	IDR_1
 Q885V4	1	50	IDR_1
 Q884X8	293	372	IDR_1
 Q87ZW4	1	78	IDR_1
 Q88BS1	1	80	IDR_1
 Q88BS1	81	160	IDR_2
 Q88BS1	161	240	IDR_3
 Q88BS1	241	320	IDR_4
 Q87YR3	1	31	IDR_1
 Q87WZ5	207	260	IDR_1
 Q880R9	1	35	IDR_1
 A7WK46	214	244	IDR_1
 Q884D6	1	44	IDR_1
 Q882D0	1	38	IDR_1
 Q889U0	1	80	IDR_1
 Q882Y8	1	41	IDR_1
 Q884K2	1	60	IDR_1
 Q87XI7	1	80	IDR_1
 Q880E1	1	55	IDR_1
 Q87W18	555	634	IDR_1
 Q87W18	635	673	IDR_2
 Q884Y6	1	61	IDR_1
 Q87WL9	1	33	IDR_1
Q9FIP3	1	63	IDR_1
B3H4R3	1	51	IDR_1
Q43128	868	904	IDR_1
Q9LIB2	518	558	IDR_1
O22213	1	52	IDR_1
Q9SAJ7	1	70	IDR_1
Q9LND1	1	80	IDR_1
F4INW9	141	220	IDR_1
F4INW9	221	300	IDR_2
F4INW9	301	380	IDR_3
F4INW9	381	460	IDR_4
F4INW9	461	540	IDR_5
F4INW9	541	607	IDR_6
O22965	1	70	IDR_1
Q9FIP4	1	69	IDR_1
Q8H0V5	237	275	IDR_1
Q9SKA8	427	488	IDR_1
Q8GVE5	1	46	IDR_1
Q9SZT4	1	35	IDR_1
Q9M240	1	49	IDR_1
Q9FHY7	1	52	IDR_1
O22980	140	219	IDR_1
O22980	220	250	IDR_2
O81775	1	80	IDR_1
O81775	81	158	IDR_2
O22787	338	417	IDR_1
O22787	418	497	IDR_2
Q944H1	163	242	IDR_1
F4KDR7	1	44	IDR_1
Q84JL5	1	80	IDR_1
Q84JL5	81	141	IDR_2
Q8S8S8	55	134	IDR_1
Q8S8S8	135	209	IDR_2
F4K7F6	1	77	IDR_1
Q8RWK8	469	548	IDR_1
Q8RWK8	549	608	IDR_2
F4HWD0	1	80	IDR_1
F4HWD0	81	160	IDR_2
Q7G8T1	1	80	IDR_1
Q7G8T1	81	160	IDR_2
Q7G8T1	161	240	IDR_3
Q7G8T1	241	320	IDR_4
Q7G8T1	321	398	IDR_5
Q9SU34	1	80	IDR_1
Q0WWX4	1	68	IDR_1
P82658	1	60	IDR_1
Q9LX99	1	59	IDR_1
Q3EAI1	335	414	IDR_1
Q9C7Z7	106	185	IDR_1
Q9S9M1	700	731	IDR_1
B5X574	1	80	IDR_1
B5X574	81	141	IDR_2
Q5XF79	1	66	IDR_1
O04348	1	47	IDR_1
B9DFZ2	1	80	IDR_1
B9DFZ2	81	160	IDR_2
Q9FGJ4	1	80	IDR_1
Q9FGJ4	81	131	IDR_2
Q9LT81	220	299	IDR_1
Q9LT81	300	379	IDR_2
Q1ECI2	1	54	IDR_1
Q9LDW5	168	247	IDR_1
Q9FJ00	1	80	IDR_1
Q9FJ00	81	160	IDR_2
Q9FJ00	161	216	IDR_3
Q5YDB5	430	509	IDR_1
Q5YDB5	510	589	IDR_2
Q5YDB5	590	661	IDR_3
Q6AWW7	382	457	IDR_1
Q8H184	1	64	IDR_1
F4I793	1	80	IDR_1
F4I793	81	160	IDR_2
F4I793	161	240	IDR_3
F4I793	241	320	IDR_4
F4I793	321	400	IDR_5
F4I7I0	1	70	IDR_1
C0SUZ3	263	300	IDR_1
B9DF92	358	437	IDR_1
