,IDR1,IDR2,E_value
671440,F4KG14_middle_1_949_1022,HopAS1f_C-terminal_1_341_377,-7.7372653842274985
671262,F4KG14_middle_1_949_1022,HopM1s_C-terminal_1_801_836,-6.4122530745387785
671528,F4KG14_middle_1_949_1022,HopM1l_C-terminal_1_264_294,-5.281762940156016
671491,F4KG14_middle_1_949_1022,HopD2h_C-terminal_1_157_187,-4.658022240000335
670832,F4KG14_middle_1_949_1022,HopI1p_C-terminal_1_178_257,-4.035112175362844
671490,F4KG14_middle_1_949_1022,HopD2e_C-terminal_1_152_185,-3.447061649695309
671507,F4KG14_middle_1_949_1022,HopI1m_Middle_1_177_256,-3.4183343747456245
670830,F4KG14_middle_1_949_1022,HopI1h_C-terminal_1_178_257,-3.3324260355877726
670833,F4KG14_middle_1_949_1022,HopI1p_C-terminal_2_258_308,-3.2512361940965135
671510,F4KG14_middle_1_949_1022,HopI1s_Middle_1_179_258,-3.020244527820866
